Urdu Word,English Translation,Description,Tokenized Urdu Word,Character Length,Level
فرد,individual,being or characteristic of a single thing or person,ف ر د,3,Easy
ماں,mum,failing to speak or communicate etc when expected to,م ا ں,3,Easy
مٹی,clayey,(used of soil) compact and fine-grained,م ٹ ی,3,Easy
غلط,miscible,"(chemistry, physics) capable of being mixed",غ ل ط,3,Easy
نصف,half,consisting of one of two equivalent parts in value or quantity,ن ص ف,3,Easy
بڑا,large,having broad power and range and scope,ب ڑ ا,3,Easy
سپر,super,including more than a specified category,س پ ر,3,Easy
جمع,collected,in full control of your faculties,ج م ع,3,Easy
نال,umbilicate,depressed like a navel,ن ا ل,3,Easy
قابل,able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,ق ا ب ل,4,Easy
قاصر,unable,(usually followed by `to') not having the necessary means or skill or know-how,ق ا ص ر,4,Easy
مرنا,dying,in or associated with the process of passing from life or ceasing to be,م ر ن ا,4,Easy
آخری,last,occurring at the time of death,آ خ ر ی,4,Easy
برتن,potted,(British informal) summarized or abridged,ب ر ت ن,4,Easy
مطلق,absolute,perfect or complete or pure,م ط ل ق,4,Easy
مضمر,implicit,being without doubt or reserve,م ض م ر,4,Easy
زندہ,living,(informal) absolute,ز ن د ہ,4,Easy
جاذب,absorbent,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.),ج ا ذ ب,4,Easy
جاذب,absorbefacient,inducing or promoting absorption,ج ا ذ ب,4,Easy
ملحق,assimilating,"capable of taking (gas, light, or liquids) into a solution; ""an assimilative substance",م ل ح ق,4,Easy
جاذب,absorbable,capable of being absorbed or taken in through the pores of a surface,ج ا ذ ب,4,Easy
پیٹو,gluttonous,given to excess in consumption of especially food or drink,پ ی ٹ و,4,Easy
ہاگش,hoggish,resembling swine; coarsely gluttonous or greedy,ہ ا گ ش,4,Easy
مقصد,objective,belonging to immediate experience of actual things or events,م ق ص د,4,Easy
اصلی,real,capable of being treated as fact,ا ص ل ی,4,Easy
کافی,ample,affording an abundant supply,ک ا ف ی,4,Easy
آسان,easy,"obtained with little effort or sacrifice, often obtained illegally",آ س ا ن,4,Easy
موٹی,thick,abounding; having a lot of,م و ٹ ی,4,Easy
لمبا,long,having or being more than normal or necessary,ل م ب ا,4,Easy
درجہ,rank,growing profusely,د ر ج ہ,4,Easy
قلیل,scarce,deficient in quantity or number compared with the demand,ق ل ی ل,4,Easy
آسان,handy,easy to reach,آ س ا ن,4,Easy
درست,accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,د ر س ت,4,Easy
عجیب,veracious,precisely accurate,ع ج ی ب,4,Easy
ناقص,faulty,"characterized by errors; not agreeing with a model or not following established rules; ; ; the wrong side of the road""",ن ا ق ص,4,Easy
چوڑا,wide,not on target,چ و ڑ ا,4,Easy
عادی,accustomed,(often followed by `to') in the habit of or adapted to,ع ا د ی,4,Easy
قبول,accepted,generally approved or compelling recognition,ق ب و ل,4,Easy
حصول,acquisitive,eager to acquire and possess things especially material possessions or ideas,ح ص و ل,4,Easy
مالک,possessive,desirous of owning,م ا ل ک,4,Easy
فعال,active,characterized by energetic activity,ف ع ا ل,4,Easy
چالو,activated,(military) set up and placed on active assignment,چ ا ل و,4,Easy
ہلچل,bustling,full of energetic and noisy activity,ہ ل چ ل,4,Easy
کھلا,open,ready for business,ک ھ ل ا,4,Easy
بہار,springy,(of movements) light and confidently active,ب ہ ا ر,4,Easy
مردہ,dead,devoid of activity,م ر د ہ,4,Easy
مدھم,dull,(of business) not active or brisk,م د ھ م,4,Easy
فعال,proactive,(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens,ف ع ا ل,4,Easy
زندہ,alive,capable of erupting,ز ن د ہ,4,Easy
موثر,effective,existing in fact; not theoretical; real,م و ث ر,4,Easy
شدید,acute,having or experiencing a rapid onset and short but severe course,ش د ی د,4,Easy
مہلک,deadly,(of a disease) having a rapid course and violent effect,م ہ ل ک,4,Easy
خراب,maladaptive,showing faulty adaptation,خ ر ا ب,4,Easy
خراب,maladjustive,poorly adjusted,خ ر ا ب,4,Easy
عادی,addicted,compulsively or physiologically dependent on something habit-forming,ع ا د ی,4,Easy
ضمنی,supplementary,added to complete or make up a deficiency,ض م ن ی,4,Easy
کافی,adequate,having the requisite qualities or resources to meet a task,ک ا ف ی,4,Easy
مجاز,competent,adequate for the purpose,م ج ا ز,4,Easy
گوئی,gooey,soft and sticky,گ و ئ ی,4,Easy
مزین,adorned,provided with something intended to increase its beauty or distinction,م ز ی ن,4,Easy
پنکھ,feathery,adorned with feathers or plumes,پ ن ک ھ,4,Easy
سوجن,inflamed,adorned with tongues of flame,س و ج ن,4,Easy
پینل,paneled,fitted or decorated with panels or wainscoting,پ ی ن ل,4,Easy
سادہ,plain,lacking embellishment or ornamentation,س ا د ہ,4,Easy
بہتر,better,(comparative and superlative of `well') wiser or more advantageous and hence advisable,ب ہ ت ر,4,Easy
مارا,smitten,(used in combination) affected by something overwhelming,م ا ر ا,4,Easy
اعلی,superior,(often followed by `to') above being affected or influenced by,ا ع ل ی,4,Easy
پلمی,plummy,(of a voice) affectedly mellow and rich,پ ل م ی,4,Easy
منفی,negative,expressing or consisting of a negation or refusal or denial,م ن ف ی,4,Easy
قبول,acceptive,inclined to accept rather than reject,ق ب و ل,4,Easy
اگست,aghast,"struck with fear, dread, or consternation",ا گ س ت,4,Easy
بخار,feverish,marked by intense agitation or emotion,ب خ ا ر,4,Easy
اڑنا,fly,(British informal) not to be deceived or hoodwinked,ا ڑ ن ا,4,Easy
سردی,cold,lacking the warmth of life,س ر د ی,4,Easy
زندہ,live,exerting force or containing energy,ز ن د ہ,4,Easy
مبہم,ambiguous,having more than one possible meaning,م ب ہ م,4,Easy
خفیہ,enigmatic,resembling an oracle in obscurity of thought,خ ف ی ہ,4,Easy
دباؤ,pushful,marked by aggressive ambition and energy and initiative,د ب ا ؤ,4,Easy
مکمل,full,having the normally expected amount,م ک م ل,4,Easy
ننگا,bare,lacking in amplitude or quantity,ن ن گ ا,4,Easy
مشتق,derivational,characterized by inflections indicating a semantic relation between a word and its base,م ش ت ق,4,Easy
سیاہ,black,marked by anger or resentment or hostility,س ی ا ہ,4,Easy
روشن,enlivened,made lively or spirited,ر و ش ن,4,Easy
قدیم,antecedent,preceding in time or order,ق د ی م,4,Easy
اوپر,above,appearing earlier in the same text,ا و پ ر,4,Easy
نظیر,precedent,"preceding in time, order, or significance",ن ظ ی ر,4,Easy
مثال,precedented,having or supported or justified by a precedent,م ث ا ل,4,Easy
آفیش,offish,lacking cordiality; unfriendly,آ ف ی ش,4,Easy
کالم,columnar,characterized by columns,ک ا ل م,4,Easy
ستون,pillared,having pillars,س ت و ن,4,Easy
مسلح,armed,(used of persons or the military) characterized by having or bearing arms,م س ل ح,4,Easy
گہری,deep,exhibiting great cunning usually with secrecy,گ ہ ر ی,4,Easy
زبان,tongued,having a manner of speaking as specified; often used in combination,ز ب ا ن,4,Easy
مجرم,guilty,showing a sense of guilt; ; - Eric Linklater,م ج ر م,4,Easy
کوکی,cocky,overly self-confident or self-assertive,ک و ک ی,4,Easy
مقصد,intended,future; betrothed,م ق ص د,4,Easy
اسیر,captive,giving or marked by complete attention to; ; ; - Walter de la Mare,ا س ی ر,4,Easy
غفلت,inattentive,showing a lack of attention or care,غ ف ل ت,4,Easy
قابل,personable,(of persons) pleasant in appearance and personality,ق ا ب ل,4,Easy
اپیل,appealing,able to attract interest or draw favorable attention; - Vincent Starrett,ا پ ی ل,4,Easy
آواز,sonic,relating to audible sound,آ و ا ز,4,Easy
آواز,sounding,making or having a sound as specified; used as a combining form,آ و ا ز,4,Easy
روشن,bright,full or promise,ر و ش ن,4,Easy
مجاز,authorized,endowed with authority,م ج ا ز,4,Easy
دستی,manual,requiring human effort,د س ت ی,4,Easy
مرئی,visible,present and easily available,م ر ئ ی,4,Easy
تیار,ready,(of especially money) immediately available,ت ی ا ر,4,Easy
نیند,unsleeping,fully awake,ن ی ن د,4,Easy
نیند,sleepy,ready to fall asleep,ن ی ن د,4,Easy
آگاہ,aware,(sometimes followed by `of') having or showing knowledge or understanding or realization or perception,آ گ ا ہ,4,Easy
عجیب,creepy,causing a sensation as of things crawling on your skin,ع ج ی ب,4,Easy
الٹا,inverse,reversed (turned backward) in order or nature or effect,ا ل ٹ ا,4,Easy
گارڈ,guardant,looking forward,گ ا ر ڈ,4,Easy
بریش,brash,offensively bold,ب ر ی ش,4,Easy
تازه,fresh,improperly forward or bold,ت ا ز ه,4,Easy
چونک,beaklike,resembling the beak of a bird,چ و ن ک,4,Easy
بستر,bedded,having a bed or beds as specified,ب س ت ر,4,Easy
بریک,braky,abounding with bracken; - William Browne,ب ر ی ک,4,Easy
گھاس,grassy,abounding in grass,گ ھ ا س,4,Easy
گنجا,bald,lacking hair on all or most of the scalp,گ ن ج ا,4,Easy
ریوڑ,floccose,(of plants) having tufts of soft woolly hairs,ر ی و ڑ,4,Easy
مبہم,fuzzed,covering with fine light hairs,م ب ہ م,4,Easy
وائر,wiry,of hair that resembles wire in stiffness,و ا ئ ر,4,Easy
بونی,bonny,very pleasing to the eye,ب و ن ی,4,Easy
سومی,benign,pleasant and beneficial in nature or influence,س و م ی,4,Easy
مہلک,malign,evil or harmful in nature or influence,م ہ ل ک,4,Easy
پہلا,first,ranking above all others,پ ہ ل ا,4,Easy
نیچے,bottom,the lowest rank,ن ی چ ے,4,Easy
ٹھیک,finer,(comparative of `fine') greater in quality or excellence,ٹ ھ ی ک,4,Easy
بہتر,improved,become or made better in quality,ب ہ ت ر,4,Easy
بدتر,worse,(comparative of `bad') inferior to another in quality or condition or desirability,ب د ت ر,4,Easy
خراب,worsened,made or become worse; impaired,خ ر ا ب,4,Easy
بہتر,bettering,changing for the better,ب ہ ت ر,4,Easy
علاج,remedial,tending or intended to rectify or improve,ع ل ا ج,4,Easy
سفید,white,of or belonging to a racial group having light skin coloration,س ف ی د,4,Easy
گورے,blond,being or having light colored skin and hair and usually blue or grey eyes,گ و ر ے,4,Easy
خونی,bloody,having or covered with or accompanied by blood,خ و ن ی,4,Easy
بولڈ,bold,fearless and daring,ب و ل ڈ,4,Easy
کھیل,game,willing to face danger,ک ھ ی ل,4,Easy
ٹوپی,caitiff,despicably mean and cowardly,ٹ و پ ی,4,Easy
مرغی,chicken,easily frightened,م ر غ ی,4,Easy
فنکی,funky,in a state of cowardly fright,ف ن ک ی,4,Easy
اترا,landed,owning or consisting of land or real estate,ا ت ر ا,4,Easy
روشن,illuminated,provided with artificial light,ر و ش ن,4,Easy
لمپٹ,lamplit,lighted by a lamp,ل م پ ٹ,4,Easy
سیاہ,darkened,become or made dark by lack of light,س ی ا ہ,4,Easy
مدھم,dim,lacking in light; not bright or harsh,م د ھ م,4,Easy
اداس,glooming,depressingly dark,ا د ا س,4,Easy
فلیٹ,flat,not reflecting light; not glossy,ف ل ی ٹ,4,Easy
مدھم,dimmed,made dim or less bright,م د ھ م,4,Easy
وسیع,broad,showing or characterized by broad-mindedness,و س ی ع,4,Easy
رائے,opinionated,obstinate in your opinions,ر ا ئ ے,4,Easy
پیٹی,petty,contemptibly narrow in outlook,پ ی ٹ ی,4,Easy
اٹوٹ,unbroken,not broken; whole and intact; in one piece,ا ٹ و ٹ,4,Easy
قابل,fitful,intermittently stopping and starting,ق ا ب ل,4,Easy
رکنا,halting,fragmentary or halting from emotional strain,ر ک ن ا,4,Easy
ٹھوس,solid,uninterrupted in space; having no gaps or breaks,ٹ ھ و س,4,Easy
فرصت,leisured,free from duties or responsibilities; ; - J.J.Chapman; - Ida Craven,ف ر ص ت,4,Easy
بونس,boned,having had the bones removed,ب و ن س,4,Easy
آباد,settled,not changeable,آ ب ا د,4,Easy
گندا,dirty,unpleasantly stormy,گ ن د ا,4,Easy
قابل,capable,(usually followed by `of') having capacity or ability,ق ا ب ل,4,Easy
مکمل,thorough,painstakingly careful and accurate,م ک م ل,4,Easy
گرون,graven,cut into a desired shape,گ ر و ن,4,Easy
غلطی,errhine,causing nasal discharge,غ ل ط ی,4,Easy
دلکش,inductive,inducing or influencing; leading on; - John Milton,د ل ک ش,4,Easy
مقصد,motive,causing or able to cause motion,م ق ص د,4,Easy
کیجی,cagey,characterized by great caution and wariness,ک ی ج ی,4,Easy
وسطی,central,in or near a center or constituting a center; the inner area,و س ط ی,4,Easy
مرکز,center,equally distant from the extremes,م ر ک ز,4,Easy
اوسط,median,relating to or situated in or extending toward the middle,ا و س ط,4,Easy
قائل,convinced,persuaded of; very sure,ق ا ئ ل,4,Easy
مبہم,ambivalent,uncertain or unable to decide about what course to follow,م ب ہ م,4,Easy
سندی,credentialled,certified as professional by evidence or testimonials,س ن د ی,4,Easy
مہلک,fatal,controlled or decreed by fate; predetermined,م ہ ل ک,4,Easy
چیکر,checkered,marked by changeable fortune,چ ی ک ر,4,Easy
سیال,fluid,subject to change; variable,س ی ا ل,4,Easy
جامد,static,showing little if any change,ج ا م د,4,Easy
خراب,maladjusted,not well adjusted,خ ر ا ب,4,Easy
عجیب,peculiar,characteristic of one only; distinctive or special; - R.B.Taney,ع ج ی ب,4,Easy
مثبت,positive,having a positive charge,م ث ب ت,4,Easy
پولر,polar,having a pair of equal and opposite charges,پ و ل ر,4,Easy
برہم,celibate,abstaining from sexual intercourse,ب ر ہ م,4,Easy
خالص,pure,in a state of sexual virginity,خ ا ل ص,4,Easy
بیمش,beamish,smiling with happiness or optimism; - Lewis Carroll,ب ی م ش,4,Easy
خوشی,cheery,bright and pleasant; promoting a feeling of cheer,خ و ش ی,4,Easy
چیپر,chipper,"having a cheerful, lively, and self-confident air; - Frances G. Patton; - H.M.Reynolds",چ ی پ ر,4,Easy
سادہ,blae,of bluish-black or grey-blue,س ا د ہ,4,Easy
کاپی,coppery,of something having the color of copper,ک ا پ ی,4,Easy
ہیزل,hazel,of a light brown or yellowish brown color,ہ ی ز ل,4,Easy
خاکی,khaki,of a yellowish brown color,خ ا ک ی,4,Easy
کینو,orange,of the color between red and yellow; similar to the color of a ripe orange,ک ی ن و,4,Easy
گلاب,rose,of something having a dusty purplish pink color,گ ل ا ب,4,Easy
بابا,sage,of the grey-green color of sage leaves,ب ا ب ا,4,Easy
نیلم,sapphire,of something having the color of a blue sapphire,ن ی ل م,4,Easy
پتھر,stone,of any of various dull tannish or grey colors,پ ت ھ ر,4,Easy
تنکے,straw,of a pale yellow color like straw; straw-colored,ت ن ک ے,4,Easy
موتی,pearly,of a white the color of pearls,م و ت ی,4,Easy
سیبل,sable,of a dark somewhat brownish black,س ی ب ل,4,Easy
سفید,whitish,of something having a color tending toward white,س ف ی د,4,Easy
شدید,intense,(of color) having the highest saturation,ش د ی د,4,Easy
خلیج,bay,(used of animals especially a horse) of a moderate reddish-brown color,خ ل ی ج,4,Easy
ادرک,ginger,(used especially of hair or fur) having a bright orange-brown color,ا د ر ک,4,Easy
پیلا,pale,abnormally deficient in color as suggesting physical or emotional distress,پ ی ل ا,4,Easy
مہذب,civilized,having a high state of culture and development both social and technological,م ہ ذ ب,4,Easy
شدید,civil,of or in a condition of social order,ش د ی د,4,Easy
وحشی,barbarian,without civilizing influences; ; ; ; -Margaret Meade,و ح ش ی,4,Easy
جدید,modern,characteristic of present-day art and music and literature and architecture,ج د ی د,4,Easy
حساس,sensitive,of or pertaining to classified information or matters affecting national security,ح س ا س,4,Easy
قدیم,pristine,immaculately clean and unused,ق د ی م,4,Easy
اگین,Augean,extremely filthy from long neglect,ا گ ی ن,4,Easy
گندی,filthy,disgustingly dirty; filled or smeared with offensive matter,گ ن د ی,4,Easy
روغن,greasy,smeared or soiled with grease or oil,ر و غ ن,4,Easy
باڈی,bawdy,humorously vulgar,ب ا ڈ ی,4,Easy
خارش,scabrous,dealing with salacious or indecent material,خ ا ر ش,4,Easy
حلال,halal,conforming to dietary laws,ح ل ا ل,4,Easy
کوشر,kosher,conforming to dietary laws,ک و ش ر,4,Easy
مبہم,confusing,lacking clarity of meaning; causing confusion or perplexity,م ب ہ م,4,Easy
مائع,liquid,clear and bright,م ا ئ ع,4,Easy
مبہم,opaque,not transmitting or reflecting light or radiant energy; impenetrable to sight,م ب ہ م,4,Easy
دھند,fogged,obscured by fog,د ھ ن د,4,Easy
دودھ,milky,resembling milk in color not clear,د و د ھ,4,Easy
شامل,addled,confused and vague; used especially of thinking,ش ا م ل,4,Easy
بادل,clouded,mentally disordered,ب ا د ل,4,Easy
چکرا,dazed,in a state of mental numbness especially as resulting from shock,چ ک ر ا,4,Easy
گھنے,dense,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray,گ ھ ن ے,4,Easy
مزید,further,more distant in especially degree,م ز ی د,4,Easy
باہر,outlying,relatively far from a center or middle,ب ا ہ ر,4,Easy
قریب,near,not far distant in time or space or degree or circumstances,ق ر ی ب,4,Easy
ملحق,adjacent,near or close to but not necessarily touching,م ل ح ق,4,Easy
محیط,ambient,completely enveloping,م ح ی ط,4,Easy
محیط,encompassing,closely encircling,م ح ی ط,4,Easy
واقف,familiar,having mutual interests or affections; of established friendship,و ا ق ف,4,Easy
لیپت,coated,having or dressed in a coat,ل ی پ ت,4,Easy
گاؤن,gowned,wearing a gown,گ ا ؤ ن,4,Easy
ٹوگل,togged,dressed especially in smart clothes,ٹ و گ ل,4,Easy
وردی,uniformed,dressed in a uniform,و ر د ی,4,Easy
بادل,cloudless,free from clouds,ب ا د ل,4,Easy
مختص,allocable,capable of being distributed,م خ ت ص,4,Easy
نافذ,promulgated,formally made public,ن ا ف ذ,4,Easy
لائٹ,lighted,set afire or burning,ل ا ئ ٹ,4,Easy
دکھی,miserable,characterized by physical misery,د ک ھ ی,4,Easy
عجیب,awkward,socially uncomfortable; unsure and constrained in manner,ع ج ی ب,4,Easy
اوسط,average,"lacking special distinction, rank, or status; commonly encountered",ا و س ط,4,Easy
جنرل,general,prevailing among and common to the general public,ج ن ر ل,4,Easy
عوام,public,affecting the people or community as a whole,ع و ا م,4,Easy
واحد,singular,being a single and separate person or thing; ; -William James,و ا ح د,4,Easy
چیٹی,chatty,prone to friendly informal communication,چ ی ٹ ی,4,Easy
خالی,blank,void of expression,خ ا ل ی,4,Easy
تنہا,alone,radically distinctive and without equal,ت ن ہ ا,4,Easy
متفق,congruous,suitable or appropriate together,م ت ف ق,4,Easy
املی,emulous,eager to surpass others,ا م ل ی,4,Easy
پورا,whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete,پ و ر ا,4,Easy
پورا,entire,constituting the full quantity or extent; complete,پ و ر ا,4,Easy
جزوی,fractional,constituting or comprising a part or fraction of a possible whole or entirety,ج ز و ی,4,Easy
مقدس,sacred,(often followed by `to') devoted exclusively to a single use or purpose or person,م ق د س,4,Easy
مکمل,accomplished,successfully completed or brought to an end,م ک م ل,4,Easy
مکمل,completed,caught,م ک م ل,4,Easy
اچھی,good,thorough,ا چ ھ ی,4,Easy
آواز,sound,thorough,آ و ا ز,4,Easy
جزوی,partial,being or affecting only a part; not total,ج ز و ی,4,Easy
وسیع,comprehensive,including all or everything,و س ی ع,4,Easy
مکمل,plenary,full in all respects,م ک م ل,4,Easy
مقعر,concave,curving inward,م ق ع ر,4,Easy
محدب,convex,curving or bulging outward,م ح د ب,4,Easy
بنکی,bunchy,occurring close together in bunches or clusters,ب ن ک ی,4,Easy
کمول,cumulous,thrown together in a pile,ک م و ل,4,Easy
سنگل,single,not divided among or brought to bear on more than one object or objective,س ن گ ل,4,Easy
راشن,rationed,distributed equitably in limited individual portions,ر ا ش ن,4,Easy
ویرل,sparse,not dense,و ی ر ل,4,Easy
چھڑک,splashed,(of a fluid) having been propelled about in flying drops or masses,چ ھ ڑ ک,4,Easy
سنکی,eccentric,not having a common center; not concentric,س ن ک ی,4,Easy
عبارت,abducent,especially of muscles; drawing away from the midline of the body or from an adjacent part,ع ب ا ر ت,5,Medium
جھٹکا,shock,having the capacity to absorb the energy of an impact,ج ھ ٹ ک ا,5,Medium
پیاسا,thirsty,able to take in large quantities of moisture,پ ی ا س ا,5,Medium
مکروہ,abstemious,sparing in consumption of especially food and drink; - John Galsworthy,م ک ر و ہ,5,Medium
گھٹیا,crapulous,given to gross intemperance in eating or drinking,گ ھ ٹ ی ا,5,Medium
لالچی,greedy,wanting to eat or drink more than one can reasonably consume,ل ا ل چ ی,5,Medium
